rebal_date,solver,converged,iterations,elapsed_time,final_residual,relative_residual,condition_number,min_eigenvalue
2024-03-06,PCG_SSOR,True,19,0.000527750002220273,1.2932113474957099e-15,4.3526839060001586e-13,221.85873490903967,4.4160043739073396e-05
2024-04-05,PCG_SSOR,True,19,0.0005428330041468143,2.225041251421176e-16,8.019964434767586e-14,217.88534004040486,4.298446155131481e-05
2024-05-06,PCG_SSOR,True,19,0.0005487919843290001,4.744547532855057e-16,1.3515799531062994e-13,211.76973285378736,4.2855320590965195e-05
2024-06-05,PCG_SSOR,True,19,0.0005491249903570861,3.566604953193012e-17,8.525795493862319e-15,192.6674764352297,4.35368144521316e-05
2024-07-08,PCG_SSOR,True,19,0.0005446670111268759,2.897199397494138e-18,4.622695055382289e-16,182.1670166525521,4.2936072418151374e-05
2024-08-06,PCG_SSOR,True,19,0.0005433329788502306,1.5174473620086492e-17,3.86936616499471e-15,197.4005510175328,4.3288973190939324e-05
2024-09-05,PCG_SSOR,True,19,0.0005428750009741634,1.3842181635990968e-17,2.970705113945761e-15,203.52718513037323,4.252643859884502e-05
2024-10-04,PCG_SSOR,True,19,0.000626583001576364,5.764143286386274e-18,9.589737183030162e-16,202.94894875795268,4.256204556852012e-05
2024-11-04,PCG_SSOR,True,19,0.000556709012016654,8.964359015461654e-18,1.5583637467348346e-15,209.839273944385,3.931085055821816e-05
2024-12-04,PCG_SSOR,True,19,0.0005515000084415078,2.6689211122540604e-18,5.35144072861461e-16,191.17210733855572,3.932288908620125e-05
2023-01-03,PCG_IChol,True,1,0.00019554200116544962,6.7349106096792696e-18,1.7770985780708256e-15,277.0938955457468,4.117939732756927e-05
2023-02-02,PCG_IChol,True,1,0.00018533298862166703,4.627664954494816e-18,1.5595507999794886e-15,281.22856820634104,4.078053652327629e-05
2023-03-06,PCG_IChol,True,1,0.00018737500067800283,3.503741112641691e-18,1.0518329873528725e-15,255.26422801549478,4.3759866007751417e-05
2023-04-04,PCG_IChol,True,1,0.000180957984412089,3.2961977788366557e-18,9.789609062866955e-16,244.44386455614892,4.334560928039186e-05
2023-05-04,PCG_IChol,True,1,0.00018850000924430788,6.255049216504907e-18,1.8130645605270694e-15,235.50514512248282,4.460073720689473e-05
2023-06-05,PCG_IChol,True,1,0.00018087500939145684,5.463216214079073e-18,1.7662282769979421e-15,225.75834993157278,4.724199068007024e-05
2023-07-06,PCG_IChol,True,1,0.00017841698718257248,6.58744139640441e-18,2.179491251675174e-15,225.53625773609681,4.747103823266089e-05
2023-08-04,PCG_IChol,True,1,0.0001767499779816717,4.643159886980566e-18,1.5059403563182121e-15,223.11644616683182,4.823095882348874e-05
2023-09-05,PCG_IChol,True,1,0.00018166701192967594,3.4626706883755798e-18,1.0995901740982325e-15,226.3528250883106,4.8049566617164857e-05
2023-10-04,PCG_IChol,True,1,0.00017812498845160007,5.6379693916275336e-18,1.7604616596175882e-15,228.70841952917,4.742118914555048e-05
2023-11-02,PCG_IChol,True,1,0.00018562498735263944,4.656527092109767e-18,1.3222959906912164e-15,233.71174847535744,4.6709579817969424e-05
